Match_ID,WinOrLoss,Elo,Weather,Terrain,P1ScreenUp,P2ScreenUp,P1HasDamageEntryHazards,P2HasDamageEntryHazards,P1HasToxicSpikes,P2HasToxicSpikes,P1HasStickyWeb,P2HasStickyWeb,P1PokemonRemaining,P2PokemonRemaining,P1PokemonRevealed,P2PokemonRevealed,P1TeamStatuses,P2TeamStatuses,P1DynamaxAvailable,P2DynamaxAvailable,P1LeadHP,P1LeadType1,P1LeadType2,P1LeadStatus,P1AtkBoosts,P1DefBoosts,P1SpaBoosts,P1SpdBoosts,P1SpeBoosts,P1LeadDynamaxed,P1LeadConfused,P1LeadLeechSeed,P1LeadDrowsy,P1LeadTaunted,P1LeadEncore,P1R1HP,P1R1Revealed,P1R2HP,P1R2Revealed,P1R3HP,P1R3Revealed,P1R4HP,P1R4Revealed,P1R5HP,P1R5Revealed,P2LeadHP,P2LeadType1,P2LeadType2,P2LeadStatus,P2AtkBoosts,P2DefBoosts,P2SpaBoosts,P2SpdBoosts,P2SpeBoosts,P2LeadDynamaxed,P2LeadConfused,P2LeadLeechSeed,P2LeadDrowsy,P2LeadTaunted,P2LeadEncore,P2R1HP,P2R1Revealed,P2R2HP,P2R2Revealed,P2R3HP,P2R3Revealed,P2R4HP,P2R4Revealed,P2R5HP,P2R5Revealed
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,58.6,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,82.1,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,58.6,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,94,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,64.9,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,88.1,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,65.2,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,82.1,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,94,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,74.9,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,77.4,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,94,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,94,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
1676031219,Win,1790,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,6,6,0,0,FALSE,FALSE,94,Rock,Psychic,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,52.5,TRUE,0,TRUE,0,TRUE,0,TRUE,73.4,Normal,Flying,BRN,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE
